    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_1: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_2: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_3: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_4: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_5: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_6: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_7: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_8: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_9: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_10: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_11: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_12: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_13: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_14: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_15: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_16: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_17: killed
    custom_components.ev_trip_planner.definitions.x_default_attrs_fn__mutmut_18: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_111: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_112: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_113: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_114: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_115: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_116: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_117: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_118: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_119: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_120: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_121: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_122: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_123: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_124: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_125: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_126: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_127: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_128: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_129: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_130: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_131: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_132: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_133: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_134: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_135: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_136: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_137: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_138: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_139: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_140: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_141: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_142: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_143: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_144: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_145: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_146: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_147: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_148: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_149: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_150: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_151: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_152: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_153: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_154: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_155: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_156: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_157: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_158: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_159: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_160: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_161: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_162: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_163: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_164: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_165: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_166: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_167: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_168: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_169: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_170: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_171: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_172: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_173: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_174: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_175: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_176: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_177: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_178: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_179: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_180: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_181: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_182: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_183: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_184: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_185: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_186: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_187: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_188: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_189: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_190: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_191: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_192: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_193: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_194: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_195: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_196: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_197: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_198: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_199: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_200: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_201: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_202: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_203: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_204: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_205: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_206: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_207: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_208: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_209: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_210: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_211: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_212: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_213: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_214: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_215: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_216: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_217: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_218: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_219: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_220: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_221: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_222: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_223: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_224: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_225: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_226: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_227: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_228: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_229: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_230: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_231: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_232: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_233: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_234: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_235: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_236: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_237: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_238: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_239: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_240: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_241: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_242: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_243: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_244: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_245: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_246: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_247: killed
    custom_components.ev_trip_planner.services.x_register_services__mutmut_248: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_249: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_250: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_251: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_252: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_253: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_254: survived
    custom_components.ev_trip_planner.services.x_register_services__mutmut_255: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_1: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_2: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_3: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_4: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_5: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_6: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_7: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_8: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_9: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_10: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_11: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_12: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_13: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_14: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_15: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_16: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_17: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_18: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_19: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_20: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_21: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_22: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_23: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_24: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_25: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_26: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_27: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_28: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_29: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_30: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_31: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_32: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_33: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_34: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_35: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_36: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_37: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_38: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_39: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_40: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_41: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_42: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_43: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_recurring_handler__mutmut_44: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_1: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_2: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_3: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_4: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_5: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_6: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_7: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_8: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_9: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_10: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_11: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_12: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_13: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_14: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_15: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_16: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_17: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_18: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_19: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_20: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_21: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_22: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_23: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_24: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_25: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_26: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_27: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_28: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_29: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_30: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_31: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_32: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_33: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_34: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_35: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_36: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_37: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_38: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_39: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_add_punctual_handler__mutmut_40: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_1: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_2: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_3: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_4: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_5: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_6: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_7: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_8: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_9: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_10: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_11: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_12: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_13: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_14: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_15: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_16: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_17: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_18: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_19: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_20: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_21: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_22: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_23: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_24: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_25: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_26: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_27: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_28: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_29: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_30: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_31: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_32: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_33: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_34: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_35: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_36: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_37: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_38: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_39: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_40: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_41: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_42: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_43: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_44: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_45: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_46: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_47: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_48: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_49: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_50: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_51: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_52: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_53: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_54: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_55: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_56: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_57: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_58: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_59: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_60: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_61: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_62: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_63: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_64: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_65: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_66: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_67: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_68: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_69: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_70: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_71: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_72: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_73: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_74: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_75: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_76: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_77: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_78: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_79: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_80: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_81: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_82: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_83: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_84: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_85: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_86: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_87: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_88: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_89: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_90: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_91: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_92: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_93: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_94: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_95: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_96: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_97: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_98: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_99: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_100: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_101: survived
    custom_components.ev_trip_planner.services._handler_factories.x_make_trip_update_handler__mutmut_102: survived
